ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10882,CPLT,2020,100,Lecture,"4","Paul Cantor","TuTh 12:30PM - 1:45PM","Astronomy Bldg 265","History of European Literature II","",Open,0,20,0,"Surveys European literature from the Renaissance to the twentieth century, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
10883,CPLT,2020,101,Discussion,"0","Staff","Th 2:00PM - 2:50PM","Shannon House 107","History of European Literature II","",Open,0,8,0,"Surveys European literature from the Renaissance to the twentieth century, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
10884,CPLT,2020,102,Discussion,"0","Staff","Th 3:00PM - 3:50PM","Shannon House 107","History of European Literature II","",Open,0,7,0,"Surveys European literature from the Renaissance to the twentieth century, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
21300,CPLT,3559,001,Lecture,"3","Benjamin Bennett","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 411","New Course in Comparative Literature","",Open,0,20,0,"This course provides the opportunity to offer a new course in the subject of Comparative Literature."
19390,CPLT,3750,001,Seminar,"3","Lorna Martens","TuTh 11:00AM - 12:15PM","New Cabell Hall 407","Women, Childhood, Autobiography","",Open,0,20,0,"Cross-cultural readings in women's childhood narratives.  Emphasis on formal as well as thematic aspects."
19391,CPLT,3760,001,Seminar,"3","Lorna Martens","TuTh 2:00PM - 3:15PM","New Cabell Hall 407","Ways of Telling Stories:  Eighteenth-Century Fiction","",Open,0,20,0,"Comparative studies in the European novel.  Dominant novel types, including the fictional memoir, the novel in letters, and the comic ""history."""
14449,CPLT,4990,001,Seminar,"3","Paul Cantor","MoWe 3:30PM - 4:45PM","Maury Hall 113","Comparative Literature Seminar","",Open,1,8,0,"Open to all students, with preference given to comparative literature majors in case of overenrollment. Topics may vary; a typical subject is ""the theory and practice of tragedy."
13357,CPLT,4999,001,Independent Study,"3","Paul Cantor","TBA","TBA","Fourth Year Thesis","",Open,0,10,0,"Two-semester course in which the student prepares and writes a thesis with the guidance of a faculty member. After being accepted to the distinguished majors program, the student should decide on a thesis topic and find an advisor by the end of the third year. In the fall semester (497), the student engages in an extended course of reading and produces at least 20 pages of written text; in the spring (498), the student completes and submits the thesis."
14451,ENAM,3140,001,Lecture,"3","Timothy Griffiths","TuTh 9:30AM - 10:45AM","New Cabell Hall 032","African-American Literature II","",Open,0,30,0,"Continuation of ENAM 3130, this course begins with the career of Richard Wright and brings the Afro-American literary and performing tradition up to the present day.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19644,ENAM,3240,100,Lecture,"3","Stephen Railton","MoWe 10:00AM - 10:50AM","New Cabell Hall 032","Faulkner","",Open,6,34,0,"An intensive study of the works of William Faulkner in the contexts of American literature, southern literature, and international modernism."
